country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Agarakavan,40.33069,44.07233
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Aparan,40.59323,44.3589
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Aragats,40.48889,44.3529
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Arteni,40.2973,43.76672
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Ashnak,40.33069,43.91669
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Ashtarak,40.2991,44.36204
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Byurakan,40.33894,44.27275
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Hnaberd,40.63721,44.14058
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Karbi,40.33069,44.37793
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Kasakh,40.53697,44.41046
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Kosh,40.30011,44.16107
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Nor Yerznka,40.30011,44.38892
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Oshakan,40.26392,44.31671
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Sasunik,40.25012,44.34448
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Shenavan,40.48328,44.38348
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,T’alin,40.39172,43.87793
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Tsaghkahovit,40.63428,44.22241
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Ushi,40.34729,44.37512
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Voskevaz,40.27508,44.30011
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AG,Aragatsotn,region,región,Zovuni,40.51111,44.4389
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Abovyan,40.04851,44.54742
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Aralez,39.90008,44.6557
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Ararat,39.83069,44.70569
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Arevabuyr,40.03607,44.46948
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Arevshat,40.03963,44.54179
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Armash,39.76672,44.8111
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Artashat,39.96144,44.54447
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Avshar,39.85553,44.65832
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Aygavan,39.87327,44.66984
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Aygepat,39.95845,44.59981
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Aygestan,40.00293,44.55829
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Aygezard,39.95436,44.60229
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Bardzrashen,40.08533,44.57957
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Berk’anush,39.9779,44.51672
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Burastan,39.99157,44.49681
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Byuravan,40.01604,44.51889
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Dalar,39.97653,44.52649
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Darakert,40.10553,44.41388
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Dashtavan,40.1001,44.39172
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Dimitrov,40.00848,44.4917
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Dvin,40.01984,44.58376
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Getazat,40.03844,44.56369
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Ghukasavan,40.12793,44.41669
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Goravan,39.90832,44.73328
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Hayanist,40.12231,44.37793
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Hovtashat,40.09729,44.34448
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Hovtashen,40.02508,44.45007
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Jrahovit,40.0473,44.4751
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Lusarrat,39.87403,44.58678
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Marmarashen,40.05829,44.47229
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Masis,40.06542,44.41618
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Mrganush,40.02857,44.55831
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Mrgavan,39.97251,44.53565
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Mrgavet,40.02789,44.48328
AM,Armenia,Armenia,Asia,Asia,Western Asia,Asia Occidental,AR,Ararat,region,región,Nizami,40.09168,44.4057
