country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,12,Brändö,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,08,Eckerö,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,03,Finström,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,09,Föglö,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,10,Geta,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,06,Hammarland,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Bomarsund,60.21234,20.24023
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Finström,60.26667,19.93333
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Godby,60.22995,19.9881
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Hammarland,60.21667,19.75
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Jomala,60.14902,19.951
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Lemland,60.07178,20.08472
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Saltvik,60.28333,20.05
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Sund,60.25,20.11667
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Tjudö,60.33333,19.95
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Yomala,60.16689,19.93341
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,02,Jomala,municipality,municipio,Ytterby,60.16667,20.01667
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,15,Kökar,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,14,Kumlinge,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,04,Lemland,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,13,Lumparland,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,01,Mariehamn,municipality,municipio,Mariehamn,60.09726,19.93481
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,05,Saltvik,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,16,Sottunga,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,07,Sund,municipality,municipio,,,
AX,Aland Islands,Alandia,Europe,Europa,Northern Europe,Europa del Norte,11,Vårdö,municipality,municipio,,,
