country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Banaj,40.82492,19.84074
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Bashkia Berat,40.69997,19.94983
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Bashkia Kuçovë,40.82489,19.9535
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Bashkia Poliçan,40.58608,20.04535
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Bashkia Skrapar,40.56036,20.25477
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Berat,40.70583,19.95222
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Çorovodë,40.50417,20.22722
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Kuçovë,40.80028,19.91667
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Poliçan,40.61222,20.09806
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Rrethi i Beratit,40.66667,20
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Rrethi i Kuçovës,40.83333,19.91667
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Rrethi i Skraparit,40.55,20.26667
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Skrapar,40.5407139,20.101884
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,01,Berat,county,condado,Ura Vajgurore,40.76889,19.87778
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Bashkia Bulqizë,41.47152,20.33192
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Bashkia Klos,41.50826,20.07107
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Bashkia Mat,41.63317,20.01228
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Bulqizë,41.49167,20.22194
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Burrel,41.61028,20.00889
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Dibër,41.7309909,20.1890858
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Klos,41.50694,20.08667
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Mat,41.6364812,19.840556
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Peshkopi,41.685,20.42889
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Rrethi i Bulqizës,41.5,20.33333
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Rrethi i Dibrës,41.75,20.33333
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Rrethi i Matit,41.58333,20.08333
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,09,Dibër,county,condado,Ulëz,41.68278,19.89333
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Bashkia Durrës,41.42743,19.4869
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Bashkia Krujë,41.50091,19.72571
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Bashkia Shijak,41.33558,19.58977
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Durrës,41.3313929,19.4251579
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Durrës District,41.3166,19.45
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Fushë-Krujë,41.47833,19.71778
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Krujë,41.50917,19.79278
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Rrethi i Krujës,41.55,19.75
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Shijak,41.34556,19.56722
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,02,Durrës,county,condado,Sukth,41.38056,19.53778
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,03,Elbasan,county,condado,Gramsh,40.8661446,20.1763701
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,03,Elbasan,county,condado,Librazhd,41.1832398,20.3036248
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,03,Elbasan,county,condado,Peqin,41.0464103,19.7405004
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Ballsh,40.59889,19.73472
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Bashkia Divjakë,40.95716,19.52364
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Bashkia Fier,40.72937,19.4869
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Bashkia Mallakastër,40.55669,19.77347
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Bashkia Patos,40.67793,19.65591
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Divjakë,40.99667,19.52944
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Fier,40.72389,19.55611
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Fier-Çifçi,40.71667,19.56667
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Lushnjë,40.94194,19.705
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Mallakastër,40.5433544,19.6248073
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Patos,40.68333,19.61944
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Patos Fshat,40.64278,19.65083
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Roskovec,40.7375,19.70222
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,04,Fier,county,condado,Rrethi i Mallakastrës,40.55,19.78333
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Bashkia Kelcyrë,40.36196,20.16476
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Bashkia Libohovë,40.10754,20.25753
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Bashkia Memaliaj,40.41524,19.96911
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Bashkia Përmet,40.23246,20.41091
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Bashkia Tepelenë,40.26736,19.97003
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Dropull,39.98584,20.30529
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Gjinkar,40.19944,20.40611
AL,Albania,Albania,Europe,Europa,Southern Europe,Europa del Sur,05,Gjirokastër,county,condado,Gjirokastër,40.07583,20.13889
